x,y,act_smi,pred_smi,residual
329760.0,4037640.0,0.1276099,0.1496720611867556,-0.0220621611867556
329790.0,4037640.0,0.1373668,0.1525566360047336,-0.0151898360047336
329820.0,4037640.0,0.1346099,0.1576896285283932,-0.0230797285283931
329850.0,4037640.0,0.1362352,0.1518240447369643,-0.0155888447369643
329880.0,4037640.0,0.1349375,0.1576323414313829,-0.0226948414313829
329910.0,4037640.0,0.1488129,0.1736284371315439,-0.0248155371315439
329940.0,4037640.0,0.164981,0.1805116346139805,-0.0155306346139805
329970.0,4037640.0,0.1644613,0.1781450827855009,-0.0136837827855009
330000.0,4037640.0,0.1647451,0.1785081155749844,-0.0137630155749844
330030.0,4037640.0,0.1671153,0.1814322280939559,-0.0143169280939559
330060.0,4037640.0,0.1591251,0.1705321138135649,-0.0114070138135649
330090.0,4037640.0,0.1507687,0.1685626333927519,-0.0177939333927519
330120.0,4037640.0,0.1515632,0.1673514159831811,-0.0157882159831811
330150.0,4037640.0,0.1547038,0.1642959162352648,-0.0095921162352648
330180.0,4037640.0,0.1754727,0.1854857954753706,-0.0100130954753706
330210.0,4037640.0,0.1778846,0.1915605194260813,-0.0136759194260813
330240.0,4037640.0,0.1571494,0.177157024768111,-0.020007624768111
330270.0,4037640.0,0.1467872,0.1620419921915208,-0.0152547921915208
330300.0,4037640.0,0.1539742,0.1705664931115046,-0.0165922931115045
330330.0,4037640.0,0.1682499,0.1768728186030932,-0.0086229186030931
330360.0,4037640.0,0.1507472,0.1712349996320587,-0.0204877996320587
330390.0,4037640.0,0.1532183,0.1698928175452421,-0.0166745175452421
330420.0,4037640.0,0.1495516,0.1660261631892116,-0.0164745631892116
330450.0,4037640.0,0.1423575,0.1654501410521726,-0.0230926410521726
330480.0,4037640.0,0.1675131,0.1867493253947087,-0.0192362253947087
330510.0,4037640.0,0.1814114,0.1944181102144646,-0.0130067102144646
330540.0,4037640.0,0.1552845,0.1769927950449913,-0.0217082950449913
330570.0,4037640.0,0.1444162,0.165719821535716,-0.021303621535716
330600.0,4037640.0,0.1578332,0.1831118751848501,-0.0252786751848501
330630.0,4037640.0,0.1637697,0.1816811057777975,-0.0179114057777975
330660.0,4037640.0,0.1563238,0.1777544834519307,-0.0214306834519306
330690.0,4037640.0,0.1642833,0.188917452981405,-0.024634152981405
330720.0,4037640.0,0.1631643,0.1801812866573214,-0.0170169866573213
330750.0,4037640.0,0.1561636,0.178297976916018,-0.022134376916018
330780.0,4037640.0,0.1446375,0.1721069432058655,-0.0274694432058655
330810.0,4037640.0,0.1381577,0.1576558764156524,-0.0194981764156524
330840.0,4037640.0,0.1416613,0.1626313011867978,-0.0209700011867978
330870.0,4037640.0,0.1501192,0.1717904069890324,-0.0216712069890324
330900.0,4037640.0,0.1457109,0.1668260130891759,-0.0211151130891759
330930.0,4037640.0,0.1501598,0.1731389451434215,-0.0229791451434215
330960.0,4037640.0,0.1447908,0.1673262864413977,-0.0225354864413977
330990.0,4037640.0,0.1365815,0.1587911646367433,-0.0222096646367433
331020.0,4037640.0,0.1421564,0.1804059271976666,-0.0382495271976666
331050.0,4037640.0,0.154567,0.1765201681378202,-0.0219531681378202
331080.0,4037640.0,0.154752,0.1749540637290299,-0.0202020637290299
331110.0,4037640.0,0.1864779,0.1946215985704434,-0.0081436985704434
331140.0,4037640.0,0.1654036,0.1864917136843708,-0.0210881136843708
331170.0,4037640.0,0.1639614,0.1799844945010124,-0.0160230945010124
331200.0,4037640.0,0.171793,0.186675482102768,-0.014882482102768
331230.0,4037640.0,0.1705064,0.179190728895531,-0.008684328895531
331260.0,4037640.0,0.1591083,0.1745595684818821,-0.0154512684818821
331290.0,4037640.0,0.1613003,0.1769632297763547,-0.0156629297763547
331320.0,4037640.0,0.1598749,0.1802459383475527,-0.0203710383475527
331350.0,4037640.0,0.1545921,0.1728787045829612,-0.0182866045829612
331380.0,4037640.0,0.1506059,0.1616532315720522,-0.0110473315720522
331410.0,4037640.0,0.1530236,0.1711688315113924,-0.0181452315113923
331440.0,4037640.0,0.1626902,0.1730284665971773,-0.0103382665971773
331470.0,4037640.0,0.1626578,0.1750908604184858,-0.0124330604184857
331500.0,4037640.0,0.1628074,0.1722277609642432,-0.0094203609642432
331530.0,4037640.0,0.1590246,0.173326757428169,-0.014302157428169
331560.0,4037640.0,0.1719505,0.182805224062378,-0.010854724062378
331590.0,4037640.0,0.1751624,0.1831460067184973,-0.0079836067184973
331620.0,4037640.0,0.1619424,0.1800289397502515,-0.0180865397502515
331650.0,4037640.0,0.1561436,0.1803113491970168,-0.0241677491970168
331680.0,4037640.0,0.1518653,0.1876244136114877,-0.0357591136114877
331710.0,4037640.0,0.1614183,0.1825986486860026,-0.0211803486860026
331740.0,4037640.0,0.1591678,0.1777252420785625,-0.0185574420785625
331770.0,4037640.0,0.1443957,0.1505858759113144,-0.0061901759113144
331800.0,4037640.0,0.1338508,0.1510778218127435,-0.0172270218127435
331830.0,4037640.0,0.1469306,0.1591626874086449,-0.0122320874086449
331860.0,4037640.0,0.14801,0.1654121414408138,-0.0174021414408138
331890.0,4037640.0,0.1750215,0.1846387128896482,-0.0096172128896482
331920.0,4037640.0,0.2007852,0.1987306647093902,0.0020545352906097
331950.0,4037640.0,0.1919307,0.1919887322057111,-5.803220571110046e-05
331980.0,4037640.0,0.1516591,0.1619607114494756,-0.0103016114494756
332010.0,4037640.0,0.1573729,0.1694408179895827,-0.0120679179895827
332040.0,4037640.0,0.1985641,0.2073228450825,-0.0087587450825
332070.0,4037640.0,0.1624694,0.179748524351606,-0.017279124351606
332100.0,4037640.0,0.1480583,0.1591454911122483,-0.0110871911122483
332130.0,4037640.0,0.1438583,0.1604716387482694,-0.0166133387482694
332160.0,4037640.0,0.1514979,0.1624954010071723,-0.0109975010071723
332190.0,4037640.0,0.1647744,0.1845313120113129,-0.0197569120113129
332220.0,4037640.0,0.1767212,0.1845171391977505,-0.0077959391977505
332250.0,4037640.0,0.171584,0.1852788541947552,-0.0136948541947552
332280.0,4037640.0,0.1784199,0.1857060661378203,-0.0072861661378203
332310.0,4037640.0,0.1967141,0.2011456058934542,-0.0044315058934542
332340.0,4037640.0,0.1756598,0.176449742086913,-0.000789942086913
332370.0,4037640.0,0.1694783,0.1766066008955147,-0.0071283008955147
