OID_,X,Y,smi22_Clip_Band_1
1,329760.000000000000000,4037640.000000000000000,0.1488001
2,329790.000000000000000,4037640.000000000000000,0.1740077
3,329820.000000000000000,4037640.000000000000000,0.1673645
4,329850.000000000000000,4037640.000000000000000,0.1701478
5,329880.000000000000000,4037640.000000000000000,0.1779781
6,329910.000000000000000,4037640.000000000000000,0.1854601
7,329940.000000000000000,4037640.000000000000000,0.1995938
8,329970.000000000000000,4037640.000000000000000,0.2019459
9,330000.000000000000000,4037640.000000000000000,0.1959993
10,330030.000000000000000,4037640.000000000000000,0.2101844
11,330060.000000000000000,4037640.000000000000000,0.1886157
12,330090.000000000000000,4037640.000000000000000,0.1779475
13,330120.000000000000000,4037640.000000000000000,0.1867658
14,330150.000000000000000,4037640.000000000000000,0.1944136
15,330180.000000000000000,4037640.000000000000000,0.2090046
16,330210.000000000000000,4037640.000000000000000,0.2121580
17,330240.000000000000000,4037640.000000000000000,0.1919706
18,330270.000000000000000,4037640.000000000000000,0.1821843
19,330300.000000000000000,4037640.000000000000000,0.1965196
20,330330.000000000000000,4037640.000000000000000,0.2032040
21,330360.000000000000000,4037640.000000000000000,0.1808177
22,330390.000000000000000,4037640.000000000000000,0.1811798
23,330420.000000000000000,4037640.000000000000000,0.1860332
24,330450.000000000000000,4037640.000000000000000,0.1794133
25,330480.000000000000000,4037640.000000000000000,0.2120069
26,330510.000000000000000,4037640.000000000000000,0.2099975
27,330540.000000000000000,4037640.000000000000000,0.1881021
28,330570.000000000000000,4037640.000000000000000,0.1805141
29,330600.000000000000000,4037640.000000000000000,0.1957524
30,330630.000000000000000,4037640.000000000000000,0.1943418
31,330660.000000000000000,4037640.000000000000000,0.1885025
32,330690.000000000000000,4037640.000000000000000,0.1915024
33,330720.000000000000000,4037640.000000000000000,0.1943852
34,330750.000000000000000,4037640.000000000000000,0.1933844
35,330780.000000000000000,4037640.000000000000000,0.1637463
36,330810.000000000000000,4037640.000000000000000,0.1563001
37,330840.000000000000000,4037640.000000000000000,0.1780090
38,330870.000000000000000,4037640.000000000000000,0.1675159
39,330900.000000000000000,4037640.000000000000000,0.1668567
40,330930.000000000000000,4037640.000000000000000,0.1843919
41,330960.000000000000000,4037640.000000000000000,0.1743331
42,330990.000000000000000,4037640.000000000000000,0.1728080
43,331020.000000000000000,4037640.000000000000000,0.1664825
44,331050.000000000000000,4037640.000000000000000,0.1898800
45,331080.000000000000000,4037640.000000000000000,0.1863230
46,331110.000000000000000,4037640.000000000000000,0.1942734
47,331140.000000000000000,4037640.000000000000000,0.2015408
48,331170.000000000000000,4037640.000000000000000,0.1950411
49,331200.000000000000000,4037640.000000000000000,0.2070992
50,331230.000000000000000,4037640.000000000000000,0.2013687
51,331260.000000000000000,4037640.000000000000000,0.1929571
52,331290.000000000000000,4037640.000000000000000,0.1925741
53,331320.000000000000000,4037640.000000000000000,0.2006543
54,331350.000000000000000,4037640.000000000000000,0.1793474
55,331380.000000000000000,4037640.000000000000000,0.1738824
56,331410.000000000000000,4037640.000000000000000,0.1812010
57,331440.000000000000000,4037640.000000000000000,0.1849685
58,331470.000000000000000,4037640.000000000000000,0.1922351
59,331500.000000000000000,4037640.000000000000000,0.1906669
60,331530.000000000000000,4037640.000000000000000,0.1953766
61,331560.000000000000000,4037640.000000000000000,0.1906889
62,331590.000000000000000,4037640.000000000000000,0.2053021
63,331620.000000000000000,4037640.000000000000000,0.1986766
64,331650.000000000000000,4037640.000000000000000,0.1979713
