OID_,X,Y,smi_21_Band_1
1,762840.000000000000000,4157160.000000000000000,0.2805711
2,762870.000000000000000,4157160.000000000000000,0.3102951
3,762900.000000000000000,4157160.000000000000000,0.3840239
4,762930.000000000000000,4157160.000000000000000,0.3372367
5,762960.000000000000000,4157160.000000000000000,0.3406446
6,762990.000000000000000,4157160.000000000000000,0.4686046
7,763020.000000000000000,4157160.000000000000000,0.4494453
8,763050.000000000000000,4157160.000000000000000,0.3292063
9,763080.000000000000000,4157160.000000000000000,0.3796166
10,763110.000000000000000,4157160.000000000000000,0.2551157
11,763140.000000000000000,4157160.000000000000000,0.2862988
12,763170.000000000000000,4157160.000000000000000,0.2332125
13,763200.000000000000000,4157160.000000000000000,0.2284566
14,763230.000000000000000,4157160.000000000000000,0.1697657
15,763260.000000000000000,4157160.000000000000000,0.2103368
16,763290.000000000000000,4157160.000000000000000,0.1670076
17,763320.000000000000000,4157160.000000000000000,0.1534772
18,763350.000000000000000,4157160.000000000000000,0.2370638
19,763380.000000000000000,4157160.000000000000000,0.1996077
20,763410.000000000000000,4157160.000000000000000,0.2852231
21,763440.000000000000000,4157160.000000000000000,0.3280315
22,763470.000000000000000,4157160.000000000000000,0.3752098
23,763500.000000000000000,4157160.000000000000000,0.2685072
24,763530.000000000000000,4157160.000000000000000,0.1984284
25,763560.000000000000000,4157160.000000000000000,0.2911928
26,763590.000000000000000,4157160.000000000000000,0.3813177
27,763620.000000000000000,4157160.000000000000000,0.3526666
28,763650.000000000000000,4157160.000000000000000,0.2608593
29,763680.000000000000000,4157160.000000000000000,0.2541454
30,763710.000000000000000,4157160.000000000000000,0.2674873
31,763740.000000000000000,4157160.000000000000000,0.3157023
32,763770.000000000000000,4157160.000000000000000,0.3586860
33,763800.000000000000000,4157160.000000000000000,0.3886299
34,763830.000000000000000,4157160.000000000000000,0.3928066
35,763860.000000000000000,4157160.000000000000000,0.3522051
36,763890.000000000000000,4157160.000000000000000,0.4249753
37,763920.000000000000000,4157160.000000000000000,0.5455685
38,763950.000000000000000,4157160.000000000000000,0.4882589
39,763980.000000000000000,4157160.000000000000000,0.4272970
40,764010.000000000000000,4157160.000000000000000,0.4621743
41,764040.000000000000000,4157160.000000000000000,0.3621082
42,764070.000000000000000,4157160.000000000000000,0.4051951
43,764100.000000000000000,4157160.000000000000000,0.3542750
44,764130.000000000000000,4157160.000000000000000,0.3130507
45,764160.000000000000000,4157160.000000000000000,0.2638246
46,764190.000000000000000,4157160.000000000000000,0.2973295
47,764220.000000000000000,4157160.000000000000000,0.2044472
48,764250.000000000000000,4157160.000000000000000,0.2127125
49,764280.000000000000000,4157160.000000000000000,0.2431032
50,764310.000000000000000,4157160.000000000000000,0.3269775
51,764340.000000000000000,4157160.000000000000000,0.5861799
52,764370.000000000000000,4157160.000000000000000,0.5032392
53,764400.000000000000000,4157160.000000000000000,0.4887471
54,764430.000000000000000,4157160.000000000000000,0.6181067
55,764460.000000000000000,4157160.000000000000000,0.8066918
56,764490.000000000000000,4157160.000000000000000,0.7074918
57,764520.000000000000000,4157160.000000000000000,0.5271537
58,764550.000000000000000,4157160.000000000000000,0.4754055
59,764580.000000000000000,4157160.000000000000000,0.4788797
60,764610.000000000000000,4157160.000000000000000,0.4361302
61,764640.000000000000000,4157160.000000000000000,0.3910613
62,764670.000000000000000,4157160.000000000000000,0.2217043
63,764700.000000000000000,4157160.000000000000000,0.3198136
64,764730.000000000000000,4157160.000000000000000,0.5156463
65,764760.000000000000000,4157160.000000000000000,0.5018060
66,764790.000000000000000,4157160.000000000000000,0.5799540
67,764820.000000000000000,4157160.000000000000000,0.4449003
68,764850.000000000000000,4157160.000000000000000,0.2470945
69,764880.000000000000000,4157160.000000000000000,0.1368253
70,764910.000000000000000,4157160.000000000000000,0.1228466
71,764940.000000000000000,4157160.000000000000000,0.1723664
72,764970.000000000000000,4157160.000000000000000,0.2164522
73,765000.000000000000000,4157160.000000000000000,0.3114203
74,765030.000000000000000,4157160.000000000000000,0.3573967
75,765060.000000000000000,4157160.000000000000000,0.4884722
76,765090.000000000000000,4157160.000000000000000,0.5566456
77,765120.000000000000000,4157160.000000000000000,0.6050631
78,765150.000000000000000,4157160.000000000000000,0.5151486
79,765180.000000000000000,4157160.000000000000000,0.4214972
80,765210.000000000000000,4157160.000000000000000,0.4031116
81,765240.000000000000000,4157160.000000000000000,0.4573448
82,765270.000000000000000,4157160.000000000000000,0.4700792
83,765300.000000000000000,4157160.000000000000000,0.5131335
84,765330.000000000000000,4157160.000000000000000,0.2871586
85,765360.000000000000000,4157160.000000000000000,0.2419705
86,765390.000000000000000,4157160.000000000000000,0.4039422
87,765420.000000000000000,4157160.000000000000000,0.3251412
88,765450.000000000000000,4157160.000000000000000,0.3237382
89,765480.000000000000000,4157160.000000000000000,0.2181838
90,765510.000000000000000,4157160.000000000000000,0.2051388
91,765540.000000000000000,4157160.000000000000000,0.2335583
92,765570.000000000000000,4157160.000000000000000,0.3094993
93,765600.000000000000000,4157160.000000000000000,0.3668228
94,765630.000000000000000,4157160.000000000000000,0.2862774
95,765660.000000000000000,4157160.000000000000000,0.2253155
96,765690.000000000000000,4157160.000000000000000,0.2203974
97,765720.000000000000000,4157160.000000000000000,0.2609921
98,765750.000000000000000,4157160.000000000000000,0.2234509
99,765780.000000000000000,4157160.000000000000000,0.2478713
100,765810.000000000000000,4157160.000000000000000,0.2280217
101,765840.000000000000000,4157160.000000000000000,0.2009659
102,765870.000000000000000,4157160.000000000000000,0.2751664
103,765900.000000000000000,4157160.000000000000000,0.2257378
104,765930.000000000000000,4157160.000000000000000,0.2576422
105,765960.000000000000000,4157160.000000000000000,0.2566592
106,765990.000000000000000,4157160.000000000000000,0.2470224
107,766020.000000000000000,4157160.000000000000000,0.2673126
108,766050.000000000000000,4157160.000000000000000,0.2400803
109,766080.000000000000000,4157160.000000000000000,0.2633574
110,766110.000000000000000,4157160.000000000000000,0.2822235
111,766140.000000000000000,4157160.000000000000000,0.3006119
112,766170.000000000000000,4157160.000000000000000,0.4244606
113,766200.000000000000000,4157160.000000000000000,0.4638854
114,766230.000000000000000,4157160.000000000000000,0.4392699
115,766260.000000000000000,4157160.000000000000000,0.4710714
116,766290.000000000000000,4157160.000000000000000,0.3530757
117,766320.000000000000000,4157160.000000000000000,0.1888228
118,766350.000000000000000,4157160.000000000000000,0.1990609
119,766380.000000000000000,4157160.000000000000000,0.2402770
120,766410.000000000000000,4157160.000000000000000,0.3238660
121,766440.000000000000000,4157160.000000000000000,0.3838417
122,766470.000000000000000,4157160.000000000000000,0.3812177
123,766500.000000000000000,4157160.000000000000000,0.3420450
124,766530.000000000000000,4157160.000000000000000,0.2891348
125,766560.000000000000000,4157160.000000000000000,0.3176090
126,766590.000000000000000,4157160.000000000000000,0.3402028
127,766620.000000000000000,4157160.000000000000000,0.4541924
128,766650.000000000000000,4157160.000000000000000,0.4568514
129,766680.000000000000000,4157160.000000000000000,0.4821079
130,766710.000000000000000,4157160.000000000000000,0.3773000
131,766740.000000000000000,4157160.000000000000000,0.4220136
132,766770.000000000000000,4157160.000000000000000,0.4805583
133,766800.000000000000000,4157160.000000000000000,0.3811582
134,766830.000000000000000,4157160.000000000000000,0.3679910
135,766860.000000000000000,4157160.000000000000000,0.3706996
136,766890.000000000000000,4157160.000000000000000,0.3382143
137,766920.000000000000000,4157160.000000000000000,0.3587346
138,766950.000000000000000,4157160.000000000000000,0.2406948
139,766980.000000000000000,4157160.000000000000000,0.1976325
140,767010.000000000000000,4157160.000000000000000,0.1787252
141,767040.000000000000000,4157160.000000000000000,0.1507867
142,767070.000000000000000,4157160.000000000000000,0.1588938
143,762840.000000000000000,4157130.000000000000000,0.3478990
